msa_name,sw_lon,sw_lat,ne_lon,ne_lat
"Atlanta-Sandy Springs-Roswell, GA",-85.38647347216839,32.84464,-83.269306,34.617923999999995
"Austin-Round Rock, TX",-98.2976,29.630744999999997,-97.024461,30.906188
"Baltimore-Columbia-Towson, MD",-77.31151,38.7127443256283,-75.7476710652218,39.7213050468054
"Birmingham-Hoover, AL",-87.636118,32.660117,-86.043993,34.260169999999995
"Boston-Cambridge-Newton, MA-NH",-71.89877002948,41.623432,-70.525567,43.572787
"Buffalo-Cheektowaga-Niagara Falls, NY",-79.13689290760351,42.438286,-78.460416,43.374884
"Charlotte-Concord-Gastonia, NC-SC",-81.537599,34.457775999999996,-80.182559,36.05881
"Chicago-Naperville-Elgin, IL-IN-WI",-88.942146,40.736515,-86.929362,42.669906
"Cincinnati, OH-KY-IN",-85.140312,38.473039,-83.673018,39.729262999999996
"Cleveland-Elyria, OH",-82.3480736835418,40.988198,-81.00217573236529,41.8531568842684
"Columbus, OH",-83.653386,39.361565999999996,-82.024219,40.712527
"Dallas-Fort Worth-Arlington, TX",-98.068545,32.052087,-95.858723,33.434011
"Denver-Aurora-Lakewood, CO",-106.210173,38.693089,-103.705701,40.044143999999996
"Detroit-Warren-Dearborn, MI",-84.158189,42.033339,-82.413474,43.327048999999995
"Grand Rapids-Wyoming, MI",-86.27199581316529,42.419728,-84.83530499999999,43.468201
"Hartford-West Hartford-East Hartford, CT",-73.02953699999999,41.254811088302496,-72.099229,42.038860282198
"Houston-The Woodlands-Sugar Land, TX",-96.62198,28.825565880112496,-94.353383,30.630284
"Indianapolis-Carmel-Anderson, IN",-87.01468299999999,39.048356999999996,-85.575623,40.379523999999996
"Jacksonville, FL",-82.4597918101678,29.622432,-81.21289519458351,30.829922
"Kansas City, MO-KS",-95.187963,38.025952,-93.477233,39.788954
"Las Vegas-Henderson-Paradise, NV",-115.896925,35.001857,-114.042819,36.853473
"Los Angeles-Long Beach-Anaheim, CA",-118.944862413904,32.801462,-117.413314,34.823301
"Memphis, TN-MS-AR",-90.58853599999999,34.423807,-89.01658599999999,35.652344
"Miami-Fort Lauderdale-West Palm Beach, FL",-80.88623199999999,25.13807,-80.031362,26.97094
"Milwaukee-Waukesha-West Allis, WI",-88.54216799999999,42.842003,-87.79169,43.543532
"Minneapolis-St. Paul-Bloomington, MN-WI",-94.62948899999999,44.195836,-92.134812,46.24715
"New Orleans-Metairie, LA",-90.96369299999999,28.928608999999998,-88.81701699999999,30.711904999999998
"New York-Newark-Jersey City, NY-NJ-PA",-75.359184,39.498537,-71.856214,42.080906
"Oklahoma City, OK",-98.31336999999999,34.681118999999995,-96.61919499999999,36.164777
"Orlando-Kissimmee-Sanford, FL",-81.957641,27.642003,-80.861398,29.276766
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-76.2332587690425,39.290417,-74.389708,40.608579999999996
"Phoenix-Mesa-Scottsdale, AZ",-113.334379,32.501248,-110.448444,34.04817
"Pittsburgh, PA",-80.519218,39.720712999999996,-78.974459,41.173134
"Portland-Vancouver-Hillsboro, OR-WA",-123.785567,44.885715999999995,-121.51438,46.388627
"Providence-Warwick, RI-MA",-71.86277199999999,41.146339,-70.82091799999999,42.095538999999995
"Richmond, VA",-78.240748,36.707657999999995,-76.741984,38.252615999999996
"Riverside-San Bernardino-Ontario, CA",-117.802539,33.425931999999996,-114.131211,35.8096294219517
"Rochester, NY",-78.46642899999999,42.459185999999995,-76.702325,43.376504999999995
"Salt Lake City, UT",-114.047133613292,39.903694,-111.553266,41.076888
"San Antonio-New Braunfels, TX",-99.603318,28.612658,-97.63101999999999,30.138954
"San Diego-Carlsbad, CA",-117.596147232519,32.534155999999996,-116.08109,33.505024999999996
"San Francisco-Oakland-Hayward, CA",-123.024066,37.1073182889556,-121.469214,38.321208999999996
"San Jose-Sunnyvale-Santa Clara, CA",-122.202653,36.196847999999996,-120.596562,37.484637
"Seattle-Tacoma-Bellevue, WA",-122.841858,46.728406,-120.907399,48.298988
"St. Louis, MO-IL",-91.41863699999999,38.003499,-89.138393,39.523368999999995
"Tampa-St. Petersburg-Clearwater, FL",-82.852432,27.576037,-82.054035,28.694858999999997
"Tucson, AZ",-113.333897,31.4261324300682,-110.447773,32.514188
"Tulsa, OK",-97.06448499999999,35.376689999999996,-95.20794599999999,36.999286
"Urban Honolulu, HI",-178.334698,21.255043,-157.648929,28.402123
"Virginia Beach-Norfolk-Newport News, VA-NC",-76.95051,36.071709999999996,-75.7733857837426,37.603173999999996
"Washington-Arlington-Alexandria, DC-VA-MD-WV",-78.39470399999999,37.990688,-76.38148199999999,39.720017999999996
"Louisville-Jefferson County, KY-IN",-86.33001851513349,37.805879,-84.866981,38.831812
"Nashville-Davidson-Murfreesboro-Franklin, TN",-87.74374999999999,35.408175,-85.778634,36.652485999999996
"Raleigh-Cary, NC",-78.995059,35.254672,-78.006551,36.266191
"Sacramento-Roseville-Arden-Arcade, CA",-122.422048,38.018421,-119.877287,39.3164525335553
